Ime,Atribut,Level_Rank,Tip,ATK,DEF
Armityle the Chaos Phantom,DARK,12,Fiend,0,0
Assault Blackwing - Onimaru the Divine Thunder,DARK,12,Winged Beast,3000,2000
"Barbaroid, the Ultimate Battle Machine",EARTH,12,Machine,4000,4000
Blue-Eyes Ultimate Dragon,LIGHT,12,Dragon,4500,3800
Cosmic Blazar Dragon,WIND,12,Dragon,4000,4000
Dragon Master Knight,LIGHT,12,Dragon,5000,5000
Dystopia the Despondent,DARK,12,Fiend,5000,5000
Elemental HERO Divine Neos,LIGHT,12,Warrior,2500,2500
Five-Headed Dragon,DARK,12,Dragon,5000,5000
Flower Cardian Paulownia,DARK,12,Warrior,100,100
Flower Cardian Paulownia with Phoenix,DARK,12,Warrior,2000,2000
Herald of Ultimateness,LIGHT,12,Fairy,2000,3000
Hot Red Dragon Archfiend King Calamity,DARK,12,Dragon,4000,3500
Malefic Truth Dragon,DARK,12,Dragon,5000,5000
Meklord Astro Mekanikle,LIGHT,12,Machine,4000,4000
Neo Blue-Eyes Ultimate Dragon,LIGHT,12,Dragon,4500,3800
Number 77: The Seven Sins,DARK,12,Fiend,4000,3000
Number 93: Utopia Kaiser,LIGHT,12,Warrior,2500,2000
Raidraptor - Final Fortress Falcon,DARK,12,Winged Beast,3800,2800
Red Nova Dragon,DARK,12,Dragon,3500,3000
Shooting Quasar Dragon,LIGHT,12,Dragon,4000,4000
Stardust Sifr Divine Dragon,LIGHT,12,Dragon,4000,4000
Subterror Behemoth Ultramafus,EARTH,12,Pyro,3000,1800
Super Quantal Mech King Great Magnus,LIGHT,12,Machine,3600,3200
Superheavy Samurai Steam Train King,EARTH,12,Machine,2000,4800
Supreme King Z-ARC,DARK,12,Dragon,4000,4000
T.G. Halberd Cannon,EARTH,12,Machine,4000,4000
Yubel - The Ultimate Nightmare,DARK,12,Fiend,0,0
CXyz Skypalace Babylon,WIND,11,Machine,3800,4000
Darklord Morningstar,DARK,11,Fairy,3000,3000
Flower Cardian Willow,DARK,11,Warrior,100,100
Flower Cardian Willow with Calligrapher,DARK,11,Warrior,2000,2000
Gate Guardian,DARK,11,Warrior,3750,3400
Hyper Psychic Blaster/Assault Mode,EARTH,11,Psychic,3500,3000
Infernoid Tierra,FIRE,11,Fiend,3400,3600
Nekroz of Sophia,LIGHT,11,Spellcaster,3600,3400
Number 84: Pain Gainer,DARK,11,Insect,0,0
"Sophia, Goddess of Rebirth",DARK,11,Fairy,3600,3400
Star Eater,LIGHT,11,Dragon,3200,2800
Subterror Behemoth Speleogeist,EARTH,11,Fiend,3000,1400
"Tierra, Source of Destruction",LIGHT,11,Fiend,3400,3600
Yubel - Terror Incarnate,DARK,11,Fiend,0,0
Zefraath,EARTH,11,Rock,3450,2950
A-to-Z-Dragon Buster Cannon,LIGHT,10,Machine,4000,4000
"Aggiba, the Malevolent Sh'nn S'yo",LIGHT,10,Fiend,3000,3000
Ally of Justice Decisive Armor,DARK,10,Machine,3300,3300
Andro Sphinx,LIGHT,10,Beast,3000,2500
Apoqliphort Towers,EARTH,10,Machine,3000,2600
Arcana Force EX - The Dark Ruler,LIGHT,10,Fairy,4000,4000
Arcana Force EX - The Light Ruler,LIGHT,10,Fairy,4000,4000
Armed Dragon LV10,WIND,10,Dragon,3000,2000
Ascension Sky Dragon,LIGHT,10,Dragon,0,3000
Atomic Scrap Dragon,EARTH,10,Dragon,3200,2400
Beelzeus of the Diabolic Dragons,DARK,10,Dragon,4000,4000
Blackwing - Aurora the Northern Lights,LIGHT,10,Winged Beast,0,0
Blue-Eyes Shining Dragon,LIGHT,10,Dragon,3000,2500
Blue-Eyes Twin Burst Dragon,LIGHT,10,Dragon,3000,2500
Chaos Ancient Gear Giant,DARK,10,Machine,4500,3000
Colossal Fighter/Assault Mode,DARK,10,Warrior,3300,1500
Crimson Nova the Dark Cubic Lord,DARK,10,Fiend,3000,0
Crimson Nova Trinity the Dark Cubic Lord,DARK,10,Fiend,4500,3000
Cyber Angel Vrash,LIGHT,10,Fairy,3000,2000
Cyber Eltanin,LIGHT,10,Machine,0,0
Cyber End Dragon,LIGHT,10,Machine,4000,2800
D.D. Esper Star Sparrow,LIGHT,10,Warrior,3000,1500
D.D. Jet Iron,LIGHT,10,Machine,4000,0
D/D Savant Galilei,DARK,10,Fiend,0,0
D/D/D Super Doom King Bright Armageddon,DARK,10,Fiend,3500,3000
D/D/D Wave Oblivion King Caesar Ragnarok,DARK,10,Fiend,3200,3000
Darklord Desire,DARK,10,Fairy,3000,2800
Darklord Ixchel,DARK,10,Fairy,2500,2900
Darkness Neosphere,DARK,10,Fiend,4000,4000
Deep-Eyes White Dragon,LIGHT,10,Dragon,0,0
Deskbot Jet,EARTH,10,Machine,500,500
Destiny End Dragoon,DARK,10,Warrior,3000,3000
Destiny HERO - Dusktopia,DARK,10,Warrior,3000,3000
Dragocytos Corrupted Nethersoul Dragon,DARK,10,Dragon,4000,2000
Dragon Knight Draco-Equiste,WIND,10,Dragon,3200,2000
Earthbound Immortal Aslla piscu,DARK,10,Winged Beast,2500,2500
Earthbound Immortal Ccapac Apu,DARK,10,Fiend,3000,2500
Earthbound Immortal Ccarayhua,DARK,10,Reptile,2800,1800
Earthbound Immortal Chacu Challhua,DARK,10,Fish,2900,2400
Earthbound Immortal Cusillu,DARK,10,Beast,2800,2400
Earthbound Immortal Uru,DARK,10,Insect,3000,3000
Earthbound Immortal Wiraqocha Rasca,DARK,10,Winged Beast,100,100
El Shaddoll Shekhinaga,EARTH,10,Machine,2600,3000
Elemental HERO Electrum,LIGHT,10,Warrior,2900,2600
Exodius the Ultimate Forbidden Lord,DARK,10,Spellcaster,0,0
Fabled Leviathan,LIGHT,10,Fiend,3000,2000
Fenrir the Nordic Wolf,DARK,10,Beast,4000,4000
Flower Cardian Lightflare,DARK,10,Warrior,5000,0
Flower Cardian Maple with Deer,DARK,10,Warrior,1000,1000
"Gaia Drake, the Universal Force",EARTH,10,Beast-Warrior,3500,2800
Gem-Knight Lady Brilliant Diamond,EARTH,10,Rock,3400,2000
Gishki Zielgigas,WATER,10,Aqua,3200,0
Goyo Emperor,EARTH,10,Warrior,3300,2500
Gravekeeper's Oracle,DARK,10,Spellcaster,2000,1500
Greedy Venom Fusion Dragon,DARK,10,Dragon,3300,2500
"Hamon, Lord of Striking Thunder",LIGHT,10,Thunder,4000,4000
Heavy Freight Train Derricrane,EARTH,10,Machine,2800,2000
Hot Red Dragon Archfiend Bane,DARK,10,Dragon,3500,3000
Imperion Magnum the Superconductive Battlebot,EARTH,10,Rock,4000,4000
Infernoid Onuncu,FIRE,10,Fiend,3000,3000
Invoked Elysium,LIGHT,10,Fairy,3200,4000
"Jizukiru, the Star Destroying Kaiju",LIGHT,10,Machine,3300,2600
Jurrac Meteor,FIRE,10,Dinosaur,2800,2000
"Kamion, the Timelord",EARTH,10,Fairy,0,0
King of Destruction - Xexex,DARK,10,Fiend,3000,2500
Koitsu,WATER,10,Fairy,200,100
Kozmo Dark Planet,DARK,10,Machine,4000,4000
"Lazion, the Timelord",FIRE,10,Fairy,0,0
"Leo, the Keeper of the Sacred Tree",EARTH,10,Beast,3100,1900
"Loki, Lord of the Aesir",DARK,10,Spellcaster,3300,3000
Lunalight Leo Dancer,DARK,10,Beast-Warrior,3500,3000
Ma'at,LIGHT,10,Fairy,0,0
Machina Force,EARTH,10,Machine,4600,4100
Majestic Red Dragon,DARK,10,Dragon,4000,3000
Majestic Star Dragon,WIND,10,Dragon,3800,3000
Malefic Cyber End Dragon,DARK,10,Machine,4000,2800
Malefic Paradox Dragon,DARK,10,Dragon,4000,4000
Malefic Rainbow Dragon,DARK,10,Dragon,4000,0
Mayosenju Daibak,WIND,10,Beast,3000,300
Meklord Astro Dragon Asterisk,DARK,10,Machine,0,0
"Metaion, the Timelord",FIRE,10,Fairy,0,0
Naturia Exterio,EARTH,10,Beast,2800,2400
Naturia Gaiastrio,EARTH,10,Rock,3200,2100
Nekroz of Decisive Armor,WATER,10,Dragon,3300,2300
Neos Wiseman,LIGHT,10,Spellcaster,3000,3000
Night Express Knight,EARTH,10,Machine,3000,3000
Nirvana High Paladin,DARK,10,Spellcaster,3300,2500
Number 35: Ravenous Tarantula,DARK,10,Insect,0,0
Number 81: Superdreadnought Rail Cannon Super Dora,EARTH,10,Machine,3200,4000
Number 99: Utopic Dragon,LIGHT,10,Dragon,4000,2000
Number C92: Heart-eartH Chaos Dragon,DARK,10,Dragon,1000,0
Number C9: Chaos Dyson Sphere,LIGHT,10,Machine,3600,3200
Obelisk the Tormentor,DIVINE,10,Divine-Beast,4000,4000
Odd-Eyes Venom Dragon,DARK,10,Dragon,3300,2500
"Odin, Father of the Aesir",LIGHT,10,Fairy,4000,3500
Orichalcos Shunoros,DARK,10,Machine,0,0
Raidraptor - Ultimate Falcon,DARK,10,Winged Beast,3500,2000
Rainbow Dark Dragon,DARK,10,Dragon,4000,0
Rainbow Dragon,LIGHT,10,Dragon,4000,0
Rainbow Neos,LIGHT,10,Warrior,4500,3000
"Raviel, Lord of Phantasms",DARK,10,Fiend,4000,4000
Red Dragon Archfiend/Assault Mode,DARK,10,Dragon,3500,2500
Red-Eyes Darkness Metal Dragon,DARK,10,Dragon,2800,2400
Ritual Beast Ulti-Gaiapelio,LIGHT,10,Psychic,3200,2100
Rocket Arrow Express,EARTH,10,Machine,5000,0
"Sadion, the Timelord",WIND,10,Fairy,0,0
"Sephylon, the Ultimate Timelord",LIGHT,10,Fairy,4000,4000
Shiranui Sunsaga,FIRE,10,Zombie,3500,0
Shooting Star Dragon,WIND,10,Dragon,3300,2500
Skypalace Gangaridai,WIND,10,Machine,3400,3000
Slifer the Sky Dragon,DIVINE,10,Divine-Beast,0,0
Snow Plow Hustle Rustle,EARTH,10,Machine,2500,3000
Sphinx Teleia,LIGHT,10,Beast,2500,3000
Stardust Chronicle Spark Dragon,LIGHT,10,Dragon,3000,2500
Stardust Divinity,LIGHT,10,Fairy,3000,3000
Stardust Dragon/Assault Mode,WIND,10,Dragon,3000,2500
Stardust Warrior,WIND,10,Warrior,3000,2500
Steelswarm Hercules,DARK,10,Fiend,3200,0
Subterror Behemoth Stalagmo,EARTH,10,Rock,2800,2100
Superdimensional Robot Galaxy Destroyer,LIGHT,10,Machine,5000,2000
Superdreadnought Rail Cannon Gustav Max,EARTH,10,Machine,3000,3000
Superheavy Samurai Thief,EARTH,10,Machine,1000,1000
Superheavy Samurai Warlord Susanowo,EARTH,10,Machine,2400,3800
Supersonic Skull Flame,WIND,10,Zombie,2600,2000
Supreme Arcanite Magician,LIGHT,10,Spellcaster,1400,2800
T.G. Blade Blaster,EARTH,10,Machine,3300,2200
Testament of the Arcane Lords,LIGHT,10,Spellcaster,3000,3000
The Legendary Exodia Incarnate,DARK,10,Spellcaster,0,0
The Supremacy Sun,DARK,10,Fiend,3000,3000
The Tyrant Neptune,WATER,10,Reptile,0,0
The Wicked Avatar,DARK,10,Fiend,0,0
The Wicked Dreadroot,DARK,10,Fiend,4000,4000
The Wicked Eraser,DARK,10,Fiend,0,0
The Winged Dragon of Ra,DIVINE,10,Divine-Beast,0,0
The Winged Dragon of Ra - Immortal Phoenix,DIVINE,10,Divine-Beast,4000,4000
The Winged Dragon of Ra - Sphere Mode,DIVINE,10,Divine-Beast,0,0
Theinen the Great Sphinx,LIGHT,10,Beast,3500,3000
"Thor, Lord of the Aesir",EARTH,10,Beast-Warrior,3500,2800
Timaeus the Knight of Destiny,LIGHT,10,Warrior,0,0
Tragoedia,DARK,10,Fiend,0,0
Triamid Sphinx,EARTH,10,Rock,2500,2500
Trident Dragion,FIRE,10,Dragon,3000,2800
"Tyr, the Vanquishing Warlord",LIGHT,10,Fairy,3000,3000
Tyrant Red Dragon Archfiend,DARK,10,Dragon,3500,3000
UFOroid Fighter,LIGHT,10,Machine,0,0
Ulevo,EARTH,10,Winged Beast,3000,2500
Ultimate Ancient Gear Golem,EARTH,10,Machine,4400,3400
Ultimate Axon Kicker,LIGHT,10,Psychic,2900,1700
Ultimate Conductor Tyranno,LIGHT,10,Dinosaur,3500,3200
Ultimate Obedient Fiend,FIRE,10,Fiend,3500,3000
"Uria, Lord of Searing Flames",FIRE,10,Pyro,0,0
Vennominaga the Deity of Poisonous Snakes,DARK,10,Reptile,0,0
Vylon Omega,LIGHT,10,Fairy,3200,1900
Winged Kuriboh LV10,LIGHT,10,Fairy,300,200
Worm Zero,LIGHT,10,Reptile,0,0
Yubel,DARK,10,Fiend,0,0
"Zaphion, the Timelord",WATER,10,Fairy,0,0
Zushin the Sleeping Giant,EARTH,10,Warrior,0,0
Ally of Justice Field Marshal,DARK,9,Machine,2900,2600
Amaterasu,LIGHT,9,Fairy,3000,3000
Ancient Gear Reactor Dragon,EARTH,9,Machine,3000,3000
Apoqliphort Skybase,EARTH,9,Machine,2900,2500
Arcana Knight Joker,LIGHT,9,Warrior,3800,2500
Arcanite Magician/Assault Mode,LIGHT,9,Spellcaster,900,2300
Archfiend Black Skull Dragon,DARK,9,Dragon,3200,2500
Azure-Eyes Silver Dragon,LIGHT,9,Dragon,2500,3000
B. Skull Dragon,DARK,9,Dragon,3200,2500
Big Whale,WATER,9,Fish,1000,3000
Blue-Eyes Spirit Dragon,LIGHT,9,Dragon,2500,3000
"Chaofeng, Phantom of the Yang Zing",LIGHT,9,Wyrm,2800,2200
"Chimaera, the Master of Beasts",LIGHT,9,Beast,3000,3000
Chimeratech Overdragon,DARK,9,Machine,0,0
Cloudcastle,WIND,9,Machine,0,3000
Contrast HERO Chaos,DARK,9,Warrior,3000,2600
Crystron Phoenix,WATER,9,Machine,2800,2000
Crystron Quariongandrax,WATER,9,Machine,3000,3000
CXyz Coach Lord Ultimatrainer,FIRE,9,Warrior,3800,2300
"Dante, Pilgrim of the Burning Abyss",LIGHT,9,Fairy,2800,2500
Dark Sage,DARK,9,Spellcaster,2800,3200
Darklord Tezcatlipoca,DARK,9,Fairy,2800,2100
Deep-Space Cruiser IX,LIGHT,9,Machine,900,900
Deskbot 009,EARTH,9,Machine,500,500
El Shaddoll Anoyatyllis,WATER,9,Fiend,2700,2000
Elemental HERO Chaos Neos,DARK,9,Warrior,3000,2500
Elemental HERO Core,EARTH,9,Warrior,2700,2200
Elemental HERO Magma Neos,FIRE,9,Warrior,3000,2500
Elemental HERO Storm Neos,WIND,9,Warrior,3000,2500
First of the Dragons,DARK,9,Dragon,2700,2000
Galaxy-Eyes Cipher Blade Dragon,LIGHT,9,Dragon,3200,2800
Gem-Knight Master Diamond,EARTH,9,Rock,2900,2500
Giganticastle,EARTH,9,Rock,2900,2800
Hot Red Dragon Archfiend Abyss,DARK,9,Dragon,3200,2500
Hyper Psychic Blaster,EARTH,9,Psychic,3000,2500
Infernal Flame Emperor,FIRE,9,Pyro,2700,1600
Infernoid Devyaty,FIRE,9,Fiend,2900,2900
Invoked Mechaba,LIGHT,9,Machine,2500,2100
Jurrac Titano,FIRE,9,Dinosaur,3000,2800
Kozmo Dark Eclipser,DARK,9,Machine,3000,2600
Locomotion R-Genex,DARK,9,Machine,2500,2000
"Mariamne, the True Dracophoenix",WIND,9,Wyrm,2700,2100
Master of Oz,EARTH,9,Beast,4200,3700
Mecha Phantom Beast Jaculuslan,WIND,9,Machine,2700,2000
Metalfoes Crimsonite,FIRE,9,Psychic,3000,3000
"Metaltron XII, the True Dracombatant",LIGHT,9,Wyrm,3000,3000
Mist Wurm,WIND,9,Thunder,2500,1500
Moisture Creature,LIGHT,9,Fairy,2800,2900
Naturia Leodrake,EARTH,9,Beast,3000,1800
Nekroz of Trishula,WATER,9,Warrior,2700,2000
Neo Galaxy-Eyes Cipher Dragon,LIGHT,9,Dragon,4500,3000
Number 92: Heart-eartH Dragon,DARK,9,Dragon,0,0
Number 95: Galaxy-Eyes Dark Matter Dragon,DARK,9,Dragon,4000,0
Number 9: Dyson Sphere,LIGHT,9,Machine,2800,2800
Number C107: Neo Galaxy-Eyes Tachyon Dragon,LIGHT,9,Dragon,4500,3000
Number C15: Gimmick Puppet Giant Hunter,DARK,9,Machine,2500,1500
Number C40: Gimmick Puppet of Dark Strings,DARK,9,Machine,3300,2000
Number C88: Gimmick Puppet Disaster Leo,DARK,9,Machine,3500,2500
Overmind Archfiend,DARK,9,Psychic,3300,3000
Phantom Fortress Enterblathnir,WIND,9,Machine,2900,2500
Pot of The Forbidden,EARTH,9,Rock,2000,3000
Prediction Princess Tarotrei,LIGHT,9,Fairy,2700,1200
Red-Eyes Darkness Dragon,DARK,9,Dragon,2400,2000
Scrap Twin Dragon,EARTH,9,Dragon,3000,2200
Sorcerer of Dark Magic,DARK,9,Spellcaster,3200,2800
Steelswarm Longhorn,DARK,9,Fiend,3000,0
Subterror Behemoth Voltelluric,EARTH,9,Thunder,1900,3000
Super Vehicroid - Stealth Union,EARTH,9,Machine,3600,3000
Superheavy Samurai Beast Kyubi,EARTH,9,Machine,1900,2500
"Thunder King, the Lightningstrike Kaiju",LIGHT,9,Thunder,3300,2100
"Trishula, Dragon of the Ice Barrier",WATER,9,Dragon,2700,2000
"True King Agnimazud, the Vanisher",FIRE,9,Wyrm,2900,1900
"True King Bahrastos, the Fathomer",WATER,9,Wyrm,1800,3000
"True King Lithosagym, the Disaster",EARTH,9,Wyrm,2500,2300
True King of All Calamities,DARK,9,Wyrm,3000,3000
Vermillion Dragon Mech,FIRE,9,Machine,2700,1800
Vylon Alpha,LIGHT,9,Machine,2200,1100
Winged Kuriboh LV9,LIGHT,9,Fairy,0,0
World of Prophecy,LIGHT,9,Spellcaster,2900,2400
XX-Saber Gottoms,EARTH,9,Beast-Warrior,3100,2600
ABC-Dragon Buster,LIGHT,8,Machine,3000,2800
Abyss Actor - Evil Heel,DARK,8,Fiend,3000,2000
Aegaion the Sea Castrum,WATER,8,Machine,0,3000
Ally of Justice Cosmic Gateway,DARK,8,Machine,2400,1200
